Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,Eigenvector Centrality
BBS,BBS,17,191.0,21.0,0.18155484558040466,0.015408419754018856,0.1323529411764706,18,0.21281123534986485
BAM,BAM,11,122.0,21.0,0.1712540683891188,0.006400124963675617,0.32727272727272727,18,0.13340422159309115
VSKP,VSKP,14,169.0,21.0,0.18319363851278744,0.009311963245094078,0.23076923076923078,21,0.26846963961533177
BZA,BZA,36,321.0,22.0,0.19567512970019743,0.07305566904477687,0.08571428571428572,54,0.6592571412865132
RU,RU,20,146.0,22.0,0.1796417281348788,0.015738588758559168,0.14210526315789473,27,0.29455926103417446
JTJ,JTJ,19,168.0,23.0,0.17427216225057246,0.010695005968683391,0.2046783625730994,35,0.2664062289416076
BNC,BNC,10,80.0,24.0,0.1575717243419107,9.866365852456034E-4,0.4,18,0.14791547321561524
DR,DR,5,106.0,24.0,0.16428323632579117,1.1146043094382553E-4,0.5,5,0.06546962025028152
TNA,TNA,12,165.0,23.0,0.17534043691117784,0.004699095707901427,0.21212121212121213,14,0.1646169930745195
KYN,KYN,20,284.0,23.0,0.19186098856576933,0.014808152409567938,0.1631578947368421,31,0.3470867780194105
IGP,IGP,10,115.0,23.0,0.18108429639700882,0.0023102610835734386,0.24444444444444444,11,0.1644603351440339
NK,NK,16,142.0,22.0,0.19449641765162234,0.011037364942832802,0.18333333333333332,22,0.3208817625762447
CSN,CSN,12,45.0,23.0,0.16930166044331454,7.923946858212483E-4,0.15151515151515152,10,0.13870024011602777
JL,JL,16,146.0,23.0,0.1827929318922628,0.006606605164655198,0.15,18,0.2690353713960945
BSL,BSL,29,252.0,22.0,0.20880897555239822,0.05252608835723827,0.10344827586206896,42,0.6525043538999002
PC,PC,7,28.0,23.0,0.17220897814053093,0.0012781262571159705,0.2857142857142857,6,0.08944969434275188
JMD,JMD,6,6.0,24.0,0.1644099834124137,3.2177535519564536E-4,0.2,3,0.06982899399624205
SHF,SHF,5,5.0,24.0,0.14645041577898427,1.2498294816412783E-5,0.1,1,0.02401648982181235
DHI,DHI,4,4.0,24.0,0.14917223758356374,3.232810857714261E-5,0.16666666666666666,1,0.03119013851977503
NGN,NGN,4,23.0,24.0,0.1634578507325305,7.207663860221698E-5,0.5,3,0.07320026867308814
MMR,MMR,24,190.0,23.0,0.18504689128169505,0.020836491532046,0.11231884057971014,31,0.3573660560189369
LS,LS,4,23.0,23.0,0.16534761018001243,6.844468395054889E-5,0.3333333333333333,2,0.06536838883607715
DVL,DVL,5,47.0,23.0,0.16420095546309138,1.8405359827495594E-4,0.3,3,0.05582350605538226
KSRA,KSRA,5,28.0,24.0,0.16122564781539625,1.3100194680007115E-4,0.3,3,0.06348702153828929
CSTM,CSTM,8,58.0,23.0,0.17946018779738096,7.733508021916668E-4,0.2857142857142857,8,0.15027049681081442
JM,JM,5,17.0,23.0,0.1679341187596044,4.4522389918014E-4,0.3,3,0.08464303428972068
PVR,PVR,5,13.0,24.0,0.16083018867924528,2.99019110704843E-4,0.2,2,0.032261538021759274
KMN,KMN,2,2.0,24.0,0.15380728978708047,0.0,1.0,1,0.019110872960858012
KWV,KWV,17,67.0,23.0,0.1802342791897492,0.01399865402123068,0.09558823529411764,13,0.1500842866401809
JEUR,JEUR,8,22.0,24.0,0.16203474888795955,0.001598810160645256,0.21428571428571427,6,0.06426144533646275
BGVN,BGVN,6,18.0,23.0,0.16817930707915715,0.001402475837896822,0.26666666666666666,4,0.05925599674619939
